Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,248467363,3187.710263288406,3037770,38.973048571009365,484880,5027183,64.49620848002078,47767,0.6128263861620233,6869
United States of America,Americas,45968940,13887.786,493807,149.185,79444,744398,224.892,7471,2.257,1258
India,South-East Asia,34333754,2487.945,87597,6.348,12729,459873,33.324,2682,0.194,221
Brazil,Americas,21835785,10272.791,69617,32.752,14661,608235,286.148,1556,0.732,164
The United Kingdom,Europe,9208223,13564.244,272064,400.766,36559,141395,208.283,1189,1.751,214
Russian Federation,Europe,8714595,5971.581,282049,193.271,40735,244447,167.505,8227,5.637,1192
Turkey,Europe,8150708,9664.214,189173,224.301,29482,71526,84.808,1528,1.812,228
France,Europe,6966140,10710.653,42244,64.951,9283,115431,177.479,211,0.324,45
Iran (Islamic Republic of),Eastern Mediterranean,5954962,7089.836,55453,66.021,0,126763,150.921,888,1.057,0
Argentina,Americas,5292549,11710.274,8064,17.842,1264,116029,256.725,140,0.31,19
Spain,Europe,5022546,10611.174,12089,25.541,1786,87477,184.813,52,0.11,0
Colombia,Americas,5007099,9840.437,11405,22.414,1697,127380,250.34,221,0.434,32
Italy,Europe,4788704,8029.149,31473,52.77,5902,132283,221.797,279,0.468,59
Germany,Europe,4709488,5662.708,150368,180.803,37120,96346,115.847,740,0.89,154
Indonesia,South-East Asia,4246802,1552.627,3587,1.311,0,143500,52.463,139,0.051,0
Mexico,Americas,3814453,2958.483,20670,16.032,2660,288887,224.06,1613,1.251,154
Poland,Europe,3076518,8105.029,68224,179.735,15905,77547,204.296,672,1.77,152
Ukraine,Europe,3032951,6935.034,154277,352.764,26488,70842,161.985,3990,9.123,696
South Africa,Africa,2923054,4928.543,1940,3.271,319,89251,150.486,147,0.248,31
Philippines,Western Pacific,2795642,2551.209,23151,21.127,1766,43825,39.993,1250,1.141,239
Malaysia,Western Pacific,2492343,7700.498,37594,116.153,5713,29155,90.079,386,1.193,64
Peru,Americas,2203310,6682.396,5272,15.989,639,200326,607.567,177,0.537,26
Netherlands,Europe,2166796,12447.424,58375,335.342,10272,18497,106.258,126,0.724,24
Iraq,Eastern Mediterranean,2060066,5121.677,7943,19.748,1152,23271,57.856,188,0.467,23
Thailand,South-East Asia,1951572,2795.949,57631,82.566,8148,19542,27.997,472,0.676,80
Czechia,Europe,1801154,16842.756,48968,457.904,8419,30938,289.304,207,1.936,27
Japan,Western Pacific,1723599,1362.782,5619,4.443,204,18296,14.466,59,0.047,6
Canada,Americas,1722570,4564.048,15686,41.561,2215,29095,77.089,214,0.567,39
Chile,Americas,1701316,8899.865,12862,67.283,1889,37794,197.707,75,0.392,4
Romania,Europe,1693532,8761.686,65031,336.445,8268,50087,259.131,3176,16.431,483
Bangladesh,South-East Asia,1570485,953.604,1323,0.803,0,27887,16.933,33,0.02,0
Belgium,Europe,1403548,12180.996,36389,315.81,2,26105,226.558,109,0.946,2
Israel,Europe,1332919,15399.604,3859,44.584,513,8112,93.72,21,0.243,0
Pakistan,Eastern Mediterranean,1275158,577.276,4131,1.87,580,28496,12.9,82,0.037,19
Sweden,Europe,1176269,11389.58,5863,56.77,842,15050,145.726,11,0.107,3
Serbia,Europe,1168608,16871.052,43006,620.872,6126,10203,147.299,442,6.381,64
Portugal,Europe,1094048,10626.046,5915,57.45,1382,18184,176.614,35,0.34,4
Kazakhstan,Europe,1025990,5464.164,10551,56.192,1541,17263,91.938,185,0.985,25
Cuba,Americas,954342,8425.659,4595,40.568,592,8252,72.855,33,0.291,2
Morocco,Eastern Mediterranean,946766,2565.027,1262,3.419,0,14689,39.796,35,0.095,0
Viet Nam,Western Pacific,946043,971.91,40566,41.675,6580,22342,22.953,432,0.444,59
Hungary,Europe,892164,9132.111,28745,294.231,6804,31184,319.197,455,4.657,83
Switzerland,Europe,880869,10178.023,11075,127.966,2,10837,125.216,21,0.243,0
Jordan,Eastern Mediterranean,868493,8512.022,10151,99.489,0,11077,108.565,77,0.755,0
Austria,Europe,853310,9586.607,42988,482.953,8622,11136,125.109,68,0.764,10
Nepal,South-East Asia,814115,2794.112,2218,7.612,0,11436,39.249,48,0.165,0
Greece,Europe,767376,7159.317,36209,337.816,6784,16151,150.682,350,3.265,42
Georgia,Europe,743511,18638.215,32256,808.588,5340,10300,258.199,339,8.498,62
United Arab Emirates,Eastern Mediterranean,740209,7484.114,555,5.612,73,2137,21.607,2,0.02,0
Tunisia,Eastern Mediterranean,712982,6032.701,752,6.363,0,25254,213.68,27,0.228,0
Lebanon,Eastern Mediterranean,643749,9431.605,3754,55,0,8522,124.856,42,0.615,0
Bulgaria,Europe,623946,8975.726,31003,445.991,4662,24755,356.111,1037,14.918,166
Belarus,Europe,608031,6434.653,13828,146.339,1998,4696,49.697,116,1.228,17
Guatemala,Americas,602575,3363.416,3533,19.72,782,15222,84.965,924,5.158,43
Costa Rica,Americas,561432,11021.182,2778,54.533,378,7111,139.592,103,2.022,18
Saudi Arabia,Eastern Mediterranean,548805,1576.398,331,0.951,45,8800,25.277,12,0.034,1
Sri Lanka,South-East Asia,543385,2537.611,3969,18.535,0,13806,64.474,100,0.467,0
Azerbaijan,Europe,539710,5323.017,14922,147.172,2706,7182,70.834,187,1.844,29
Ecuador,Americas,515859,2923.865,0,0,0,32958,186.804,0,0,0
Bolivia (Plurinational State of),Americas,515373,4415.078,3519,30.146,694,18942,162.272,31,0.266,6
Slovakia,Europe,506795,9285.577,32200,589.973,6805,13166,241.23,166,3.041,20
Myanmar,South-East Asia,503981,926.269,5376,9.881,0,18766,34.49,122,0.224,0
Croatia,Europe,490074,12076.246,27592,679.913,6932,9400,231.632,232,5.717,36
Panama,Americas,473005,10962.469,948,21.971,128,7320,169.65,6,0.139,5
Paraguay,Americas,461184,6465.917,290,4.066,52,16256,227.913,18,0.252,6
Ireland,Europe,458370,9233.066,20246,407.82,3024,5492,110.627,56,1.128,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,455099,8921.036,2102,41.204,300,4705,92.229,42,0.823,8
Lithuania,Europe,421360,15080.402,18309,655.276,3282,6047,216.421,247,8.84,37
Kuwait,Eastern Mediterranean,412752,9665.031,133,3.114,0,2462,57.65,1,0.023,0
Venezuela (Bolivarian Republic of),Americas,409695,1440.765,6377,22.426,968,4925,17.32,77,0.271,10
Denmark,Europe,395797,6797.409,13001,223.279,2598,2722,46.748,13,0.223,5
Uruguay,Americas,394443,11355.028,1564,45.024,195,6080,175.028,4,0.115,0
Dominican Republic,Americas,385181,3550.739,5845,53.881,973,4146,38.219,22,0.203,2
Honduras,Americas,375983,3796.042,974,9.834,106,10285,103.841,66,0.666,11
Republic of Korea,Western Pacific,375464,732.339,14928,29.117,2344,2936,5.727,119,0.232,20
Ethiopia,Africa,366424,318.73,2326,2.023,327,6509,5.662,81,0.07,15
Libya,Eastern Mediterranean,359667,5234.343,3581,52.115,648,5171,75.255,110,1.601,14
Mongolia,Western Pacific,351145,10711.224,4655,141.995,0,1704,51.978,66,2.013,0
Slovenia,Europe,346220,16519.225,17527,836.267,4511,5097,243.194,11,0.525,0
Republic of Moldova,Europe,343261,8509.275,8974,222.461,1586,7958,197.275,293,7.263,46
Egypt,Eastern Mediterranean,333840,326.225,5631,5.503,0,18832,18.402,349,0.341,0
Armenia,Europe,316839,10692.338,12293,414.851,1835,6582,222.122,350,11.811,50
Oman,Eastern Mediterranean,304329,5959.493,88,1.723,11,4112,80.523,1,0.02,0
Bahrain,Eastern Mediterranean,276956,16276.45,238,13.987,0,1393,81.865,0,0,0
Bosnia and Herzegovina,Europe,257401,7845.642,5318,162.094,1094,11717,357.137,240,7.315,32
Kenya,Africa,253661,471.741,643,1.196,252,5296,9.849,26,0.048,14
Qatar,Eastern Mediterranean,239752,8321.68,802,27.837,106,611,21.208,2,0.069,0
Latvia,Europe,226860,11891.963,15158,794.58,2347,3401,178.28,231,12.109,47
Nigeria,Africa,212446,103.059,768,0.373,87,2902,1.408,10,0.005,2
Norway,Europe,211752,3945.018,7334,136.635,1513,920,17.14,19,0.354,1
Singapore,Western Pacific,210978,3606.251,23127,395.31,3003,459,7.846,95,1.624,17
Zambia,Africa,209815,1141.294,143,0.778,34,3662,19.92,2,0.011,1
Algeria,Africa,206878,471.774,718,1.637,124,5936,13.537,29,0.066,5
North Macedonia,Europe,204416,9811.748,3124,149.949,550,7194,345.304,86,4.128,12
Estonia,Europe,202629,15247.002,12428,935.156,1435,1581,118.964,79,5.944,7
Botswana,Africa,192935,8204.32,6341,269.643,5654,2407,102.355,1,0.043,0
Uzbekistan,Europe,187381,559.861,2086,6.233,296,1334,3.986,16,0.048,2
Albania,Europe,187363,6510.633,3490,121.273,570,2944,102.3,42,1.459,4
Puerto Rico,Americas,185155,6472.021,711,24.853,154,3239,113.218,11,0.385,3
